"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4498","TC_AUTH_007 - Verify Login With Invalid Password","firefox","2026-06-04","passed","2026-06-04","Login Tests","auth/login.spec.js","",""
"","5548","TC_AUTH_001 - Verify Successful User Registration","webkit","2026-06-04","passed","2026-06-04","Registration Tests","auth/registration.spec.js","",""
"","4972","TC_AUTH_012 - Verify Login and Register Links Visibility","firefox","2026-06-04","passed","2026-06-04","Logout Tests","auth/logout.spec.js","",""
"","5230","TC_AUTH_002 - Verify Registration With Existing Email","webkit","2026-06-04","passed","2026-06-04","Registration Tests","auth/registration.spec.js","",""
"","3974","TC_AUTH_005 - Verify Password Mismatch Validation","chromium","2026-06-04","passed","2026-06-04","Registration Tests","auth/registration.spec.js","",""
"","4731","TC_AUTH_006 - Verify Login With Valid Credentials","firefox","2026-06-04","passed","2026-06-04","Login Tests","auth/login.spec.js","",""
"","5246","TC_AUTH_011 - Verify Logout Link Visibility After Login","chromium","2026-06-04","passed","2026-06-04","Logout Tests","auth/logout.spec.js","",""
"","5522","TC_AUTH_006 - Verify Login With Valid Credentials","webkit","2026-06-04","passed","2026-06-04","Login Tests","auth/login.spec.js","",""
"","4039","TC_AUTH_004 - Verify Invalid Email Format","firefox","2026-06-04","passed","2026-06-04","Registration Tests","auth/registration.spec.js","",""
"","5345","TC_AUTH_008 - Verify Login With Unregistered Email","webkit","2026-06-04","passed","2026-06-04","Login Tests","auth/login.spec.js","",""
"","5568","TC_AUTH_013 - Verify Password Recovery Response","chromium","2026-06-04","passed","2026-06-04","Forgot Password Tests","auth/forgot_pass.spec.js","",""
"","4284","TC_AUTH_003 - Verify Mandatory Field Validation","firefox","2026-06-04","passed","2026-06-04","Registration Tests","auth/registration.spec.js","",""
"","5550","TC_AUTH_012 - Verify Login and Register Links Visibility","webkit","2026-06-04","passed","2026-06-04","Logout Tests","auth/logout.spec.js","",""
"","4992","TC_AUTH_015 - Verify Password Recovery With Empty Email Field","chromium","2026-06-04","passed","2026-06-04","Forgot Password Tests","auth/forgot_pass.spec.js","",""
"","3794","TC_AUTH_003 - Verify Mandatory Field Validation","chromium","2026-06-04","passed","2026-06-04","Registration Tests","auth/registration.spec.js","",""
"","7779","TC_AUTH_013 - Verify Password Recovery Response","webkit","2026-06-04","passed","2026-06-04","Forgot Password Tests","auth/forgot_pass.spec.js","",""
"","5366","TC_AUTH_010 - Verify Remember Me Functionality","webkit","2026-06-04","passed","2026-06-04","Login Tests","auth/login.spec.js","",""
"","5386","TC_AUTH_014 - Verify Password Recovery With Unregistered Email","chromium","2026-06-04","passed","2026-06-04","Forgot Password Tests","auth/forgot_pass.spec.js","",""
"","4300","TC_AUTH_009 - Verify Login With Empty Credentials","chromium","2026-06-04","passed","2026-06-04","Login Tests","auth/login.spec.js","",""
"","4828","TC_AUTH_015 - Verify Password Recovery With Empty Email Field","firefox","2026-06-04","passed","2026-06-04","Forgot Password Tests","auth/forgot_pass.spec.js","",""
"","5365","TC_AUTH_013 - Verify Password Recovery Response","firefox","2026-06-04","passed","2026-06-04","Forgot Password Tests","auth/forgot_pass.spec.js","",""
"","4286","TC_AUTH_002 - Verify Registration With Existing Email","chromium","2026-06-04","passed","2026-06-04","Registration Tests","auth/registration.spec.js","",""
"","4993","TC_AUTH_006 - Verify Login With Valid Credentials","chromium","2026-06-04","passed","2026-06-04","Login Tests","auth/login.spec.js","",""
"","4695","TC_AUTH_010 - Verify Remember Me Functionality","chromium","2026-06-04","passed","2026-06-04","Login Tests","auth/login.spec.js","",""
"","6649","TC_AUTH_014 - Verify Password Recovery With Unregistered Email","webkit","2026-06-04","passed","2026-06-04","Forgot Password Tests","auth/forgot_pass.spec.js","",""
"","5455","TC_AUTH_014 - Verify Password Recovery With Unregistered Email","firefox","2026-06-04","passed","2026-06-04","Forgot Password Tests","auth/forgot_pass.spec.js","",""
"","4932","TC_AUTH_001 - Verify Successful User Registration","chromium","2026-06-04","passed","2026-06-04","Registration Tests","auth/registration.spec.js","",""
"","4999","TC_AUTH_004 - Verify Invalid Email Format","webkit","2026-06-04","passed","2026-06-04","Registration Tests","auth/registration.spec.js","",""
"","5500","TC_AUTH_010 - Verify Remember Me Functionality","firefox","2026-06-04","passed","2026-06-04","Login Tests","auth/login.spec.js","",""
"","5165","TC_AUTH_007 - Verify Login With Invalid Password","webkit","2026-06-04","passed","2026-06-04","Login Tests","auth/login.spec.js","",""
"","5068","TC_AUTH_001 - Verify Successful User Registration","firefox","2026-06-04","passed","2026-06-04","Registration Tests","auth/registration.spec.js","",""
"","4710","TC_AUTH_003 - Verify Mandatory Field Validation","webkit","2026-06-04","passed","2026-06-04","Registration Tests","auth/registration.spec.js","",""
"","5007","TC_AUTH_002 - Verify Registration With Existing Email","firefox","2026-06-04","passed","2026-06-04","Registration Tests","auth/registration.spec.js","",""
"","4457","TC_AUTH_008 - Verify Login With Unregistered Email","chromium","2026-06-04","passed","2026-06-04","Login Tests","auth/login.spec.js","",""
"","4962","TC_AUTH_009 - Verify Login With Empty Credentials","webkit","2026-06-04","passed","2026-06-04","Login Tests","auth/login.spec.js","",""
"","4199","TC_AUTH_005 - Verify Password Mismatch Validation","firefox","2026-06-04","passed","2026-06-04","Registration Tests","auth/registration.spec.js","",""
"","5088","TC_AUTH_015 - Verify Password Recovery With Empty Email Field","webkit","2026-06-04","passed","2026-06-04","Forgot Password Tests","auth/forgot_pass.spec.js","",""
"","4481","TC_AUTH_012 - Verify Login and Register Links Visibility","chromium","2026-06-04","passed","2026-06-04","Logout Tests","auth/logout.spec.js","",""
"","4350","TC_AUTH_007 - Verify Login With Invalid Password","chromium","2026-06-04","passed","2026-06-04","Login Tests","auth/login.spec.js","",""
"","4700","TC_AUTH_008 - Verify Login With Unregistered Email","firefox","2026-06-04","passed","2026-06-04","Login Tests","auth/login.spec.js","",""
"","4233","TC_AUTH_009 - Verify Login With Empty Credentials","firefox","2026-06-04","passed","2026-06-04","Login Tests","auth/login.spec.js","",""
"","3553","TC_AUTH_004 - Verify Invalid Email Format","chromium","2026-06-04","passed","2026-06-04","Registration Tests","auth/registration.spec.js","",""
"","6407","TC_AUTH_011 - Verify Logout Link Visibility After Login","webkit","2026-06-04","passed","2026-06-04","Logout Tests","auth/logout.spec.js","",""
"","5937","TC_AUTH_011 - Verify Logout Link Visibility After Login","firefox","2026-06-04","passed","2026-06-04","Logout Tests","auth/logout.spec.js","",""
"","4686","TC_AUTH_005 - Verify Password Mismatch Validation","webkit","2026-06-04","passed","2026-06-04","Registration Tests","auth/registration.spec.js","",""
